State,County,disfood
Alabama,Autauga,3
Alabama,Baldwin,5
Alabama,Barbour,1
Alabama,Bibb,3
Alabama,Blount,3
Alabama,Bullock,1
Alabama,Butler,1
Alabama,Calhoun,4
Alabama,Chambers,4
Alabama,Cherokee,3
Alabama,Chilton,4
Alabama,Choctaw,1
Alabama,Clarke,1
Alabama,Clay,4
Alabama,Cleburne,3
Alabama,Coffee,3
Alabama,Colbert,4
Alabama,Conecuh,1
Alabama,Coosa,4
Alabama,Covington,4
Alabama,Crenshaw,4
Alabama,Cullman,3
Alabama,Dale,4
Alabama,Dallas,1
Alabama,DeKalb,3
Alabama,Elmore,3
Alabama,Escambia,4
Alabama,Etowah,4
Alabama,Fayette,4
Alabama,Franklin,4
Alabama,Geneva,4
Alabama,Greene,1
Alabama,Hale,1
Alabama,Henry,4
Alabama,Houston,4
Alabama,Jackson,3
Alabama,Jefferson,4
Alabama,Lamar,4
Alabama,Lauderdale,3
Alabama,Lawrence,4
Alabama,Lee,5
Alabama,Limestone,3
Alabama,Lowndes,1
Alabama,Macon,1
Alabama,Madison,3
Alabama,Marengo,1
Alabama,Marion,4
Alabama,Marshall,3
Alabama,Mobile,4
Alabama,Monroe,1
Alabama,Montgomery,1
Alabama,Morgan,3
Alabama,Perry,1
Alabama,Pickens,1
Alabama,Pike,1
Alabama,Randolph,4
Alabama,Russell,4
Alabama,Shelby,0
Alabama,St. Clair,3
Alabama,Sumter,1
Alabama,Talladega,4
Alabama,Tallapoosa,4
Alabama,Tuscaloosa,4
Alabama,Walker,4
Alabama,Washington,4
Alabama,Wilcox,1
Alabama,Winston,4
Alaska,Aleutians East,0
Alaska,Aleutians West,0
Alaska,Anchorage,2
Alaska,Bethel,5
Alaska,Bristol Bay,5
Alaska,Denali,2
Alaska,Dillingham,5
Alaska,Fairbanks North Star,0
Alaska,Haines,5
Alaska,Juneau,2
Alaska,Kenai Peninsula,2
Alaska,Ketchikan Gateway,5
Alaska,Kodiak Island,0
Alaska,Lake and Peninsula,5
Alaska,Matanuska-Susitna,0
Alaska,Nome,5
Alaska,North Slope,0
Alaska,Northwest Arctic,5
Alaska,Petersburg Borough,0
Alaska,Prince of Wales-Hyder,5
Alaska,Sitka,0
Alaska,Skagway Municipality,5
Alaska,Southeast Fairbanks,5
Alaska,Valdez-Cordova,0
Alaska,Wade Hampton,5
Alaska,Wrangell City and Borough,5
Alaska,Yakutat,5
Alaska,Yukon-Koyukuk,5
Arizona,Apache,1
Arizona,Cochise,5
Arizona,Coconino,2
Arizona,Gila,5
Arizona,Graham,3
Arizona,Greenlee,3
Arizona,La Paz,4
Arizona,Maricopa,2
Arizona,Mohave,5
Arizona,Navajo,4
Arizona,Pima,2
Arizona,Pinal,3
Arizona,Santa Cruz,2
Arizona,Yavapai,5
Arizona,Yuma,5
Arkansas,Arkansas,4
Arkansas,Ashley,4
Arkansas,Baxter,5
Arkansas,Benton,0
Arkansas,Boone,5
Arkansas,Bradley,4
Arkansas,Calhoun,4
Arkansas,Carroll,3
Arkansas,Chicot,1
Arkansas,Clark,4
Arkansas,Clay,4
Arkansas,Cleburne,3
Arkansas,Cleveland,4
Arkansas,Columbia,4
Arkansas,Conway,4
Arkansas,Craighead,4
Arkansas,Crawford,3
Arkansas,Crittenden,1
Arkansas,Cross,4
Arkansas,Dallas,4
Arkansas,Desha,1
Arkansas,Drew,4
Arkansas,Faulkner,5
Arkansas,Franklin,4
Arkansas,Fulton,4
Arkansas,Garland,5
Arkansas,Grant,3
Arkansas,Greene,4
Arkansas,Hempstead,4
Arkansas,Hot Spring,4
Arkansas,Howard,4
Arkansas,Independence,5
Arkansas,Izard,5
Arkansas,Jackson,1
Arkansas,Jefferson,1
Arkansas,Johnson,4
Arkansas,Lafayette,4
Arkansas,Lawrence,4
Arkansas,Lee,1
Arkansas,Lincoln,4
Arkansas,Little River,4
Arkansas,Logan,4
Arkansas,Lonoke,3
Arkansas,Madison,4
Arkansas,Marion,4
Arkansas,Miller,4
Arkansas,Mississippi,1
Arkansas,Monroe,1
Arkansas,Montgomery,5
Arkansas,Nevada,1
Arkansas,Newton,4
Arkansas,Ouachita,1
Arkansas,Perry,4
Arkansas,Phillips,1
Arkansas,Pike,4
Arkansas,Poinsett,4
Arkansas,Polk,4
Arkansas,Pope,4
Arkansas,Prairie,4
Arkansas,Pulaski,4
Arkansas,Randolph,4
Arkansas,Saline,4
Arkansas,Scott,3
Arkansas,Searcy,3
Arkansas,Sebastian,5
Arkansas,Sevier,4
Arkansas,Sharp,3
Arkansas,St. Francis,4
Arkansas,Stone,4
Arkansas,Union,4
Arkansas,Van Buren,4
Arkansas,Washington,5
Arkansas,White,4
Arkansas,Woodruff,1
Arkansas,Yell,3
California,Alameda,2
California,Alpine,5
California,Amador,2
California,Butte,5
California,Calaveras,5
California,Colusa,2
California,Contra Costa,2
California,Del Norte,5
California,El Dorado,2
California,Fresno,5
California,Glenn,2
California,Humboldt,5
California,Imperial,2
California,Inyo,2
California,Kern,0
California,Kings,2
California,Lake,5
California,Lassen,2
California,Los Angeles,2
California,Madera,0
California,Marin,2
California,Mariposa,5
California,Mendocino,2
California,Merced,0
California,Modoc,5
California,Mono,2
California,Monterey,2
California,Napa,2
California,Nevada,2
California,Orange,2
California,Placer,2
California,Plumas,5
California,Riverside,0
California,Sacramento,5
California,San Benito,2
California,San Bernardino,0
California,San Diego,2
California,San Francisco,2
California,San Joaquin,5
California,San Luis Obispo,2
California,San Mateo,2
California,Santa Barbara,2
California,Santa Clara,2
California,Santa Cruz,2
California,Shasta,5
California,Sierra,5
California,Siskiyou,5
California,Solano,5
California,Sonoma,2
California,Stanislaus,0
California,Sutter,5
California,Tehama,5
California,Trinity,5
California,Tulare,0
California,Tuolumne,2
California,Ventura,2
California,Yolo,2
California,Yuba,5
Colorado,Adams,2
Colorado,Alamosa,2
Colorado,Arapahoe,2
Colorado,Archuleta,2
Colorado,Baca,2
Colorado,Bent,2
Colorado,Boulder,2
Colorado,Broomfield,2
Colorado,Chaffee,2
Colorado,Cheyenne,2
Colorado,Clear Creek,2
Colorado,Conejos,2
Colorado,Costilla,2
Colorado,Crowley,2
Colorado,Custer,2
Colorado,Delta,2
Colorado,Denver,2
Colorado,Dolores,2
Colorado,Douglas,2
Colorado,Eagle,2
Colorado,El Paso,2
Colorado,Elbert,2
Colorado,Fremont,2
Colorado,Garfield,2
Colorado,Gilpin,2
Colorado,Grand,2
Colorado,Gunnison,2
Colorado,Hinsdale,2
Colorado,Huerfano,2
Colorado,Jackson,2
Colorado,Jefferson,2
Colorado,Kiowa,2
Colorado,Kit Carson,2
Colorado,La Plata,2
Colorado,Lake,2
Colorado,Larimer,2
Colorado,Las Animas,2
Colorado,Lincoln,2
Colorado,Logan,2
Colorado,Mesa,2
Colorado,Mineral,2
Colorado,Moffat,2
Colorado,Montezuma,2
Colorado,Montrose,2
Colorado,Morgan,0
Colorado,Otero,2
Colorado,Ouray,2
Colorado,Park,2
Colorado,Phillips,2
Colorado,Pitkin,2
Colorado,Prowers,2
Colorado,Pueblo,0
Colorado,Rio Blanco,2
Colorado,Rio Grande,2
Colorado,Routt,2
Colorado,Saguache,2
Colorado,San Juan,2
Colorado,San Miguel,2
Colorado,Sedgwick,2
Colorado,Summit,2
Colorado,Teller,2
Colorado,Washington,2
Colorado,Weld,2
Colorado,Yuma,2
Connecticut,Fairfield,2
Connecticut,Hartford,2
Connecticut,Litchfield,2
Connecticut,Middlesex,2
Connecticut,New Haven,0
Connecticut,New London,2
Connecticut,Tolland,2
Connecticut,Windham,0
Delaware,Kent,3
Delaware,New Castle,0
Delaware,Sussex,3
District of Columbia,District of Columbia,2
Florida,Alachua,5
Florida,Baker,4
Florida,Bay,5
Florida,Bradford,4
Florida,Brevard,5
Florida,Broward,2
Florida,Calhoun,4
Florida,Charlotte,5
Florida,Citrus,3
Florida,Clay,5
Florida,Collier,2
Florida,Columbia,4
Florida,DeSoto,4
Florida,Dixie,4
Florida,Duval,5
Florida,Escambia,4
Florida,Flagler,5
Florida,Franklin,5
Florida,Gadsden,1
Florida,Gilchrist,3
Florida,Glades,4
Florida,Gulf,5
Florida,Hamilton,1
Florida,Hardee,3
Florida,Hendry,3
Florida,Hernando,3
Florida,Highlands,4
Florida,Hillsborough,5
Florida,Holmes,4
Florida,Indian River,5
Florida,Jackson,4
Florida,Jefferson,4
Florida,Lafayette,3
Florida,Lake,3
Florida,Lee,5
Florida,Leon,5
Florida,Levy,4
Florida,Liberty,4
Florida,Madison,1
Florida,Manatee,5
Florida,Marion,4
Florida,Martin,2
Florida,Miami-Dade,2
Florida,Monroe,2
Florida,Nassau,5
Florida,Okaloosa,5
Florida,Okeechobee,5
Florida,Orange,5
Florida,Osceola,0
Florida,Palm Beach,2
Florida,Pasco,5
Florida,Pinellas,5
Florida,Polk,3
Florida,Putnam,4
Florida,Santa Rosa,5
Florida,Sarasota,2
Florida,Seminole,5
Florida,St. Johns,2
Florida,St. Lucie,3
Florida,Sumter,3
Florida,Suwannee,4
Florida,Taylor,4
Florida,Union,4
Florida,Volusia,5
Florida,Wakulla,4
Florida,Walton,5
Florida,Washington,4
Georgia,Appling,4
Georgia,Atkinson,3
Georgia,Bacon,3
Georgia,Baker,4
Georgia,Baldwin,4
Georgia,Banks,0
Georgia,Barrow,3
Georgia,Bartow,3
Georgia,Ben Hill,1
Georgia,Berrien,3
Georgia,Bibb,4
Georgia,Bleckley,4
Georgia,Brantley,3
Georgia,Brooks,4
Georgia,Bryan,0
Georgia,Bulloch,4
Georgia,Burke,4
Georgia,Butts,4
Georgia,Calhoun,1
Georgia,Camden,3
Georgia,Candler,4
Georgia,Carroll,4
Georgia,Catoosa,3
Georgia,Charlton,3
Georgia,Chatham,5
Georgia,Chattahoochee,5
Georgia,Chattooga,3
Georgia,Cherokee,0
Georgia,Clarke,5
Georgia,Clay,1
Georgia,Clayton,4
Georgia,Clinch,4
Georgia,Cobb,2
Georgia,Coffee,5
Georgia,Colquitt,4
Georgia,Columbia,0
Georgia,Cook,4
Georgia,Coweta,3
Georgia,Crawford,3
Georgia,Crisp,1
Georgia,Dade,3
Georgia,Dawson,0
Georgia,DeKalb,5
Georgia,Decatur,4
Georgia,Dodge,4
Georgia,Dooly,4
Georgia,Dougherty,1
Georgia,Douglas,4
Georgia,Early,4
Georgia,Echols,0
Georgia,Effingham,0
Georgia,Elbert,4
Georgia,Emanuel,5
Georgia,Evans,4
Georgia,Fannin,3
Georgia,Fayette,0
Georgia,Floyd,5
Georgia,Forsyth,2
Georgia,Franklin,5
Georgia,Fulton,2
Georgia,Gilmer,3
Georgia,Glascock,3
Georgia,Glynn,5
Georgia,Gordon,0
Georgia,Grady,4
Georgia,Greene,4
Georgia,Gwinnett,2
Georgia,Habersham,0
Georgia,Hall,0
Georgia,Hancock,1
Georgia,Haralson,3
Georgia,Harris,3
Georgia,Hart,5
Georgia,Heard,3
Georgia,Henry,5
Georgia,Houston,5
Georgia,Irwin,4
Georgia,Jackson,0
Georgia,Jasper,3
Georgia,Jeff Davis,3
Georgia,Jefferson,1
Georgia,Jenkins,4
Georgia,Johnson,4
Georgia,Jones,3
Georgia,Lamar,4
Georgia,Lanier,5
Georgia,Laurens,4
Georgia,Lee,3
Georgia,Liberty,5
Georgia,Lincoln,4
Georgia,Long,5
Georgia,Lowndes,4
Georgia,Lumpkin,0
Georgia,Macon,4
Georgia,Madison,4
Georgia,Marion,1
Georgia,McDuffie,3
Georgia,McIntosh,4
Georgia,Meriwether,4
Georgia,Miller,4
Georgia,Mitchell,4
Georgia,Monroe,3
Georgia,Montgomery,4
Georgia,Morgan,3
Georgia,Murray,3
Georgia,Muscogee,4
Georgia,Newton,3
Georgia,Oconee,0
Georgia,Oglethorpe,3
Georgia,Paulding,0
Georgia,Peach,4
Georgia,Pickens,0
Georgia,Pierce,3
Georgia,Pike,3
Georgia,Polk,3
Georgia,Pulaski,4
Georgia,Putnam,4
Georgia,Quitman,4
Georgia,Rabun,3
Georgia,Randolph,1
Georgia,Richmond,4
Georgia,Rockdale,4
Georgia,Schley,4
Georgia,Screven,4
Georgia,Seminole,4
Georgia,Spalding,4
Georgia,Stephens,4
Georgia,Stewart,4
Georgia,Sumter,1
Georgia,Talbot,1
Georgia,Taliaferro,1
Georgia,Tattnall,5
Georgia,Taylor,4
Georgia,Telfair,4
Georgia,Terrell,1
Georgia,Thomas,4
Georgia,Tift,4
Georgia,Toombs,4
Georgia,Towns,3
Georgia,Treutlen,4
Georgia,Troup,4
Georgia,Turner,4
Georgia,Twiggs,4
Georgia,Union,3
Georgia,Upson,4
Georgia,Walker,3
Georgia,Walton,3
Georgia,Ware,4
Georgia,Warren,1
Georgia,Washington,1
Georgia,Wayne,3
Georgia,Webster,4
Georgia,Wheeler,5
Georgia,White,3
Georgia,Whitfield,0
Georgia,Wilcox,4
Georgia,Wilkes,1
Georgia,Wilkinson,4
Georgia,Worth,4
Hawaii,Hawaii,2
Hawaii,Honolulu,2
Hawaii,Kalawao,5
Hawaii,Kauai,2
Hawaii,Maui,2
Idaho,Ada,2
Idaho,Adams,5
Idaho,Bannock,5
Idaho,Bear Lake,5
Idaho,Benewah,5
Idaho,Bingham,3
Idaho,Blaine,2
Idaho,Boise,5
Idaho,Bonner,5
Idaho,Bonneville,0
Idaho,Boundary,5
Idaho,Butte,5
Idaho,Camas,5
Idaho,Canyon,0
Idaho,Caribou,2
Idaho,Cassia,0
Idaho,Clark,0
Idaho,Clearwater,3
Idaho,Custer,5
Idaho,Elmore,5
Idaho,Franklin,0
Idaho,Fremont,2
Idaho,Gem,5
Idaho,Gooding,0
Idaho,Idaho,5
Idaho,Jefferson,0
Idaho,Jerome,0
Idaho,Kootenai,2
Idaho,Latah,2
Idaho,Lemhi,5
Idaho,Lewis,5
Idaho,Lincoln,2
Idaho,Madison,5
Idaho,Minidoka,3
Idaho,Nez Perce,3
Idaho,Oneida,3
Idaho,Owyhee,3
Idaho,Payette,0
Idaho,Power,0
Idaho,Shoshone,5
Idaho,Teton,2
Idaho,Twin Falls,2
Idaho,Valley,5
Idaho,Washington,3
Illinois,Adams,0
Illinois,Alexander,4
Illinois,Bond,0
Illinois,Boone,0
Illinois,Brown,0
Illinois,Bureau,0
Illinois,Calhoun,0
Illinois,Carroll,3
Illinois,Cass,0
Illinois,Champaign,5
Illinois,Christian,3
Illinois,Clark,0
Illinois,Clay,0
Illinois,Clinton,0
Illinois,Coles,5
Illinois,Cook,0
Illinois,Crawford,0
Illinois,Cumberland,0
Illinois,De Witt,0
Illinois,DeKalb,0
Illinois,Douglas,0
Illinois,DuPage,2
Illinois,Edgar,3
Illinois,Edwards,0
Illinois,Effingham,0
Illinois,Fayette,3
Illinois,Ford,0
Illinois,Franklin,3
Illinois,Fulton,0
Illinois,Gallatin,3
Illinois,Greene,3
Illinois,Grundy,0
Illinois,Hamilton,0
Illinois,Hancock,0
Illinois,Hardin,3
Illinois,Henderson,0
Illinois,Henry,0
Illinois,Iroquois,3
Illinois,Jackson,5
Illinois,Jasper,0
Illinois,Jefferson,3
Illinois,Jersey,0
Illinois,Jo Daviess,0
Illinois,Johnson,5
Illinois,Kane,0
Illinois,Kankakee,3
Illinois,Kendall,0
Illinois,Knox,3
Illinois,Lake,2
Illinois,Lawrence,5
Illinois,Lee,0
Illinois,Livingston,0
Illinois,Logan,3
Illinois,Macon,5
Illinois,Macoupin,0
Illinois,Madison,3
Illinois,Marion,0
Illinois,Marshall,0
Illinois,Mason,3
Illinois,Massac,3
Illinois,McDonough,5
Illinois,McHenry,0
Illinois,McLean,0
Illinois,Menard,0
Illinois,Mercer,0
Illinois,Monroe,0
Illinois,Montgomery,5
Illinois,Morgan,0
Illinois,Moultrie,0
Illinois,Ogle,0
Illinois,Peoria,5
Illinois,Perry,5
Illinois,Piatt,0
Illinois,Pike,0
Illinois,Pope,3
Illinois,Pulaski,4
Illinois,Putnam,0
Illinois,Randolph,0
Illinois,Richland,0
Illinois,Rock Island,0
Illinois,Saline,5
Illinois,Sangamon,5
Illinois,Schuyler,5
Illinois,Scott,0
Illinois,Shelby,0
Illinois,St. Clair,0
Illinois,Stark,0
Illinois,Stephenson,5
Illinois,Tazewell,0
Illinois,Union,3
Illinois,Vermilion,5
Illinois,Wabash,0
Illinois,Warren,0
Illinois,Washington,0
Illinois,Wayne,0
Illinois,White,0
Illinois,Whiteside,0
Illinois,Will,0
Illinois,Williamson,0
Illinois,Winnebago,5
Illinois,Woodford,0
Indiana,Adams,0
Indiana,Allen,3
Indiana,Bartholomew,3
Indiana,Benton,3
Indiana,Blackford,3
Indiana,Boone,0
Indiana,Brown,3
Indiana,Carroll,3
Indiana,Cass,3
Indiana,Clark,3
Indiana,Clay,3
Indiana,Clinton,3
Indiana,Crawford,4
Indiana,Daviess,3
Indiana,DeKalb,0
Indiana,Dearborn,3
Indiana,Decatur,0
Indiana,Delaware,3
Indiana,Dubois,0
Indiana,Elkhart,0
Indiana,Fayette,4
Indiana,Floyd,0
Indiana,Fountain,3
Indiana,Franklin,3
Indiana,Fulton,3
Indiana,Gibson,0
Indiana,Grant,4
Indiana,Greene,3
Indiana,Hamilton,2
Indiana,Hancock,0
Indiana,Harrison,3
Indiana,Hendricks,0
Indiana,Henry,5
Indiana,Howard,4
Indiana,Huntington,3
Indiana,Jackson,3
Indiana,Jasper,3
Indiana,Jay,3
Indiana,Jefferson,3
Indiana,Jennings,5
Indiana,Johnson,0
Indiana,Knox,3
Indiana,Kosciusko,0
Indiana,LaGrange,3
Indiana,LaPorte,3
Indiana,Lake,4
Indiana,Lawrence,3
Indiana,Madison,4
Indiana,Marion,5
Indiana,Marshall,0
Indiana,Martin,0
Indiana,Miami,3
Indiana,Monroe,5
Indiana,Montgomery,3
Indiana,Morgan,3
Indiana,Newton,3
Indiana,Noble,3
Indiana,Ohio,3
Indiana,Orange,3
Indiana,Owen,3
Indiana,Parke,3
Indiana,Perry,0
Indiana,Pike,3
Indiana,Porter,0
Indiana,Posey,3
Indiana,Pulaski,3
Indiana,Putnam,3
Indiana,Randolph,3
Indiana,Ripley,0
Indiana,Rush,3
Indiana,Scott,5
Indiana,Shelby,3
Indiana,Spencer,3
Indiana,St. Joseph,0
Indiana,Starke,3
Indiana,Steuben,3
Indiana,Sullivan,3
Indiana,Switzerland,5
Indiana,Tippecanoe,5
Indiana,Tipton,3
Indiana,Union,3
Indiana,Vanderburgh,3
Indiana,Vermillion,3
Indiana,Vigo,5
Indiana,Wabash,4
Indiana,Warren,3
Indiana,Warrick,3
Indiana,Washington,3
Indiana,Wayne,5
Indiana,Wells,0
Indiana,White,3
Indiana,Whitley,0
Iowa,Adair,3
Iowa,Adams,0
Iowa,Allamakee,0
Iowa,Appanoose,0
Iowa,Audubon,3
Iowa,Benton,0
Iowa,Black Hawk,5
Iowa,Boone,0
Iowa,Bremer,0
Iowa,Buchanan,0
Iowa,Buena Vista,0
Iowa,Butler,0
Iowa,Calhoun,3
Iowa,Carroll,0
Iowa,Cass,0
Iowa,Cedar,3
Iowa,Cerro Gordo,0
Iowa,Cherokee,0
Iowa,Chickasaw,0
Iowa,Clarke,0
Iowa,Clay,0
Iowa,Clayton,0
Iowa,Clinton,0
Iowa,Crawford,0
Iowa,Dallas,0
Iowa,Davis,3
Iowa,Decatur,5
Iowa,Delaware,0
Iowa,Des Moines,3
Iowa,Dickinson,0
Iowa,Dubuque,0
Iowa,Emmet,0
Iowa,Fayette,3
Iowa,Floyd,3
Iowa,Franklin,0
Iowa,Fremont,3
Iowa,Greene,0
Iowa,Grundy,0
Iowa,Guthrie,0
Iowa,Hamilton,0
Iowa,Hancock,0
Iowa,Hardin,0
Iowa,Harrison,0
Iowa,Henry,0
Iowa,Howard,0
Iowa,Humboldt,3
Iowa,Ida,0
Iowa,Iowa,0
Iowa,Jackson,0
Iowa,Jasper,3
Iowa,Jefferson,0
Iowa,Johnson,2
Iowa,Jones,0
Iowa,Keokuk,0
Iowa,Kossuth,0
Iowa,Lee,3
Iowa,Linn,0
Iowa,Louisa,0
Iowa,Lucas,0
Iowa,Lyon,0
Iowa,Madison,0
Iowa,Mahaska,0
Iowa,Marion,0
Iowa,Marshall,0
Iowa,Mills,0
Iowa,Mitchell,0
Iowa,Monona,5
Iowa,Monroe,3
Iowa,Montgomery,3
Iowa,Muscatine,0
Iowa,O'Brien,0
Iowa,Osceola,0
Iowa,Page,3
Iowa,Palo Alto,0
Iowa,Plymouth,0
Iowa,Pocahontas,3
Iowa,Polk,0
Iowa,Pottawattamie,3
Iowa,Poweshiek,0
Iowa,Ringgold,0
Iowa,Sac,0
Iowa,Scott,0
Iowa,Shelby,0
Iowa,Sioux,0
Iowa,Story,2
Iowa,Tama,0
Iowa,Taylor,0
Iowa,Union,3
Iowa,Van Buren,0
Iowa,Wapello,0
Iowa,Warren,0
Iowa,Washington,0
Iowa,Wayne,0
Iowa,Webster,5
Iowa,Winnebago,0
Iowa,Winneshiek,2
Iowa,Woodbury,0
Iowa,Worth,0
Iowa,Wright,0
Kansas,Allen,3
Kansas,Anderson,5
Kansas,Atchison,5
Kansas,Barber,3
Kansas,Barton,3
Kansas,Bourbon,3
Kansas,Brown,3
Kansas,Butler,3
Kansas,Chase,3
Kansas,Chautauqua,3
Kansas,Cherokee,4
Kansas,Cheyenne,3
Kansas,Clark,3
Kansas,Clay,0
Kansas,Cloud,3
Kansas,Coffey,3
Kansas,Comanche,3
Kansas,Cowley,3
Kansas,Crawford,4
Kansas,Decatur,3
Kansas,Dickinson,3
Kansas,Doniphan,3
Kansas,Douglas,2
Kansas,Edwards,3
Kansas,Elk,4
Kansas,Ellis,0
Kansas,Ellsworth,3
Kansas,Finney,0
Kansas,Ford,0
Kansas,Franklin,3
Kansas,Geary,5
Kansas,Gove,3
Kansas,Graham,3
Kansas,Grant,0
Kansas,Gray,0
Kansas,Greeley,0
Kansas,Greenwood,3
Kansas,Hamilton,0
Kansas,Harper,3
Kansas,Harvey,0
Kansas,Haskell,0
Kansas,Hodgeman,0
Kansas,Jackson,3
Kansas,Jefferson,3
Kansas,Jewell,3
Kansas,Johnson,2
Kansas,Kearny,0
Kansas,Kingman,3
Kansas,Kiowa,5
Kansas,Labette,4
Kansas,Lane,3
Kansas,Leavenworth,5
Kansas,Lincoln,0
Kansas,Linn,3
Kansas,Logan,3
Kansas,Lyon,0
Kansas,Marion,0
Kansas,Marshall,3
Kansas,McPherson,0
Kansas,Meade,3
Kansas,Miami,0
Kansas,Mitchell,0
Kansas,Montgomery,4
Kansas,Morris,3
Kansas,Morton,3
Kansas,Nemaha,3
Kansas,Neosho,4
Kansas,Ness,3
Kansas,Norton,0
Kansas,Osage,3
Kansas,Osborne,3
Kansas,Ottawa,3
Kansas,Pawnee,3
Kansas,Phillips,3
Kansas,Pottawatomie,0
Kansas,Pratt,0
Kansas,Rawlins,3
Kansas,Reno,3
Kansas,Republic,3
Kansas,Rice,3
Kansas,Riley,5
Kansas,Rooks,3
Kansas,Rush,0
Kansas,Russell,3
Kansas,Saline,3
Kansas,Scott,0
Kansas,Sedgwick,5
Kansas,Seward,0
Kansas,Shawnee,3
Kansas,Sheridan,0
Kansas,Sherman,3
Kansas,Smith,3
Kansas,Stafford,3
Kansas,Stanton,0
Kansas,Stevens,0
Kansas,Sumner,3
Kansas,Thomas,0
Kansas,Trego,3
Kansas,Wabaunsee,3
Kansas,Wallace,3
Kansas,Washington,3
Kansas,Wichita,0
Kansas,Wilson,4
Kansas,Woodson,3
Kansas,Wyandotte,4
Kentucky,Adair,4
Kentucky,Allen,3
Kentucky,Anderson,3
Kentucky,Ballard,4
Kentucky,Barren,4
Kentucky,Bath,4
Kentucky,Bell,4
Kentucky,Boone,0
Kentucky,Bourbon,4
Kentucky,Boyd,4
Kentucky,Boyle,3
Kentucky,Bracken,3
Kentucky,Breathitt,1
Kentucky,Breckinridge,3
Kentucky,Bullitt,3
Kentucky,Butler,4
Kentucky,Caldwell,3
Kentucky,Calloway,5
Kentucky,Campbell,3
Kentucky,Carlisle,3
Kentucky,Carroll,4
Kentucky,Carter,3
Kentucky,Casey,4
Kentucky,Christian,5
Kentucky,Clark,3
Kentucky,Clay,4
Kentucky,Clinton,3
Kentucky,Crittenden,3
Kentucky,Cumberland,4
Kentucky,Daviess,3
Kentucky,Edmonson,4
Kentucky,Elliott,4
Kentucky,Estill,4
Kentucky,Fayette,5
Kentucky,Fleming,4
Kentucky,Floyd,1
Kentucky,Franklin,3
Kentucky,Fulton,4
Kentucky,Gallatin,3
Kentucky,Garrard,4
Kentucky,Grant,3
Kentucky,Graves,3
Kentucky,Grayson,4
Kentucky,Green,3
Kentucky,Greenup,4
Kentucky,Hancock,3
Kentucky,Hardin,3
Kentucky,Harlan,1
Kentucky,Harrison,3
Kentucky,Hart,4
Kentucky,Henderson,3
Kentucky,Henry,3
Kentucky,Hickman,4
Kentucky,Hopkins,3
Kentucky,Jackson,4
Kentucky,Jefferson,4
Kentucky,Jessamine,3
Kentucky,Johnson,1
Kentucky,Kenton,3
Kentucky,Knott,4
Kentucky,Knox,4
Kentucky,Larue,3
Kentucky,Laurel,3
Kentucky,Lawrence,4
Kentucky,Lee,4
Kentucky,Leslie,4
Kentucky,Letcher,1
Kentucky,Lewis,4
Kentucky,Lincoln,4
Kentucky,Livingston,3
Kentucky,Logan,3
Kentucky,Lyon,3
Kentucky,Madison,5
Kentucky,Magoffin,4
Kentucky,Marion,3
Kentucky,Marshall,3
Kentucky,Martin,4
Kentucky,Mason,4
Kentucky,McCracken,0
Kentucky,McCreary,4
Kentucky,McLean,4
Kentucky,Meade,3
Kentucky,Menifee,4
Kentucky,Mercer,3
Kentucky,Metcalfe,4
Kentucky,Monroe,4
Kentucky,Montgomery,3
Kentucky,Morgan,4
Kentucky,Muhlenberg,4
Kentucky,Nelson,0
Kentucky,Nicholas,4
Kentucky,Ohio,4
Kentucky,Oldham,0
Kentucky,Owen,3
Kentucky,Owsley,4
Kentucky,Pendleton,3
Kentucky,Perry,1
Kentucky,Pike,4
Kentucky,Powell,4
Kentucky,Pulaski,4
Kentucky,Robertson,4
Kentucky,Rockcastle,4
Kentucky,Rowan,4
Kentucky,Russell,4
Kentucky,Scott,3
Kentucky,Shelby,3
Kentucky,Simpson,4
Kentucky,Spencer,3
Kentucky,Taylor,4
Kentucky,Todd,3
Kentucky,Trigg,3
Kentucky,Trimble,3
Kentucky,Union,4
Kentucky,Warren,5
Kentucky,Washington,3
Kentucky,Wayne,4
Kentucky,Webster,3
Kentucky,Whitley,4
Kentucky,Wolfe,4
Kentucky,Woodford,3
Louisiana,Acadia,3
Louisiana,Allen,4
